"Source:","/Users/jasoncopp/Source/C64-Saver-bwack-fork/C64 Saver Throughhole/C64Saver2.kicad_sch"
"Date:","2023 November 18, Saturday 21:12:20"
"Tool:","Eeschema 7.0.8"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","23"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","47uF","CP","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","","",""
"J1, J6","2","Conn_01x04","Conn_01x04","Connectors_Terminal_Blocks:TerminalBlock_bornier-4_P5.08mm","","",""
"J2, J4","2","Conn_01x08","Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","","",""
"J5","1","Conn_01x04","Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","",""
"LED1","1","3mm RED","LED_Small","LED_THT:LED_D3.0mm_Easy_1","Light emitting diode, small symbol","",""
"LED2","1","3mm GREEN","LED_Small","LED_THT:LED_D3.0mm_Easy_2","Light emitting diode, small symbol","",""
"Q1","1","BC547","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92","",""
"Q2","1","IPD068P03L3G","Q_PMOS_GDS","TO_SOT_Packages_SMD:ATPAK-2","","",""
"R1, R3","2","3k3 1%","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R2","1","510 1%","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R4, R6","2","3k3","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R5","1","1k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R7","1","10k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R8","1","330k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R9","1","3k9","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R10","1","330","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","",""
"R11","1","33k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","",""
"U1","1","TL431LP","TL431LP","Package_TO_SOT_THT:TO-92_Inline_Wide","Shunt Regulator, TO-92","",""
"Z1","1","6V8","D_Zener_Small","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","",""
